frame,class_name,x1,y1,x2,y2
56,car,1706,848,1897,1041
56,car,967,312,1133,527
56,car,1146,322,1309,552
56,car,1303,360,1499,586
56,car,1453,367,1656,599
56,car,1482,256,1636,419
56,car,1351,240,1508,408
67,car,1706,848,1897,1041
67,car,967,312,1133,527
67,car,1146,322,1309,552
67,car,1303,360,1499,586
67,car,1453,367,1656,599
67,car,1482,256,1636,419
67,car,1351,240,1508,408
105,car,1706,848,1897,1041
105,car,967,312,1133,527
105,car,1146,322,1309,552
105,car,1303,360,1499,586
105,car,1453,367,1656,599
105,car,1482,256,1636,419
105,car,1351,240,1508,408
140,car,1706,848,1897,1041
140,car,967,312,1133,527
140,car,1146,322,1309,552
140,car,1303,360,1499,586
140,car,1453,367,1656,599
140,car,1482,256,1636,419
140,car,1351,240,1508,408
171,car,1706,848,1897,1041
171,car,967,312,1133,527
171,car,1146,322,1309,552
171,car,1303,360,1499,586
171,car,1453,367,1656,599
171,car,1482,256,1636,419
171,car,1351,240,1508,408
198,car,1706,848,1897,1041
198,car,967,312,1133,527
198,car,1146,322,1309,552
198,car,1303,360,1499,586
198,car,1453,367,1656,599
198,car,1482,256,1636,419
198,car,1351,240,1508,408
198,car,331,88,474,149
205,car,1706,848,1897,1041
205,car,967,312,1133,527
205,car,1146,322,1309,552
205,car,1303,360,1499,586
205,car,1453,367,1656,599
205,car,1482,256,1636,419
205,car,1351,240,1508,408
205,car,366,84,502,155
242,car,1706,848,1897,1041
242,car,967,312,1133,527
242,car,1146,322,1309,552
242,car,1303,360,1499,586
242,car,1453,367,1656,599
242,car,1482,256,1636,419
242,car,1351,240,1508,408
242,car,493,75,651,156
262,car,1706,848,1897,1041
262,car,967,312,1133,527
262,car,1146,322,1309,552
262,car,1303,360,1499,586
262,car,1453,367,1656,599
262,car,1482,256,1636,419
262,car,1351,240,1508,408
262,car,572,76,739,159
393,car,1706,848,1897,1041
393,car,967,312,1133,527
393,car,1146,322,1309,552
393,car,1303,360,1499,586
393,car,1453,367,1656,599
393,car,1482,256,1636,419
393,car,1351,240,1508,408
393,car,1424,157,1604,264
416,car,1706,848,1897,1041
416,car,967,312,1133,527
416,car,1146,322,1309,552
416,car,1303,360,1499,586
416,car,1453,367,1656,599
416,car,1482,256,1636,419
416,car,1351,240,1508,408
416,car,1557,174,1710,272
455,car,1706,848,1897,1041
455,car,967,312,1133,527
455,car,1146,322,1309,552
455,car,1303,360,1499,586
455,car,1453,367,1656,599
455,car,1482,256,1636,419
455,car,1351,240,1508,408
501,car,1706,848,1897,1041
501,car,967,312,1133,527
501,car,1146,322,1309,552
501,car,1303,360,1499,586
501,car,1453,367,1656,599
501,car,1482,256,1636,419
501,car,1351,240,1508,408
542,car,1706,848,1897,1041
542,car,967,312,1133,527
542,car,1146,322,1309,552
542,car,1303,360,1499,586
542,car,1453,367,1656,599
542,car,1482,256,1636,419
542,car,1351,240,1508,408
640,car,1706,848,1897,1041
640,car,967,312,1133,527
640,car,1146,322,1309,552
640,car,1303,360,1499,586
640,car,1453,367,1656,599
