frame,slot,state
56,0,available
56,1,available
56,2,available
56,3,available
56,4,available
56,5,available
56,6,occupied
56,7,available
56,8,available
56,9,available
56,10,occupied
56,11,occupied
56,12,occupied
56,13,occupied
56,14,available
56,15,available
56,16,available
56,17,occupied
56,18,available
67,0,available
67,1,available
67,2,available
67,3,available
67,4,available
67,5,available
67,6,occupied
67,7,available
67,8,available
67,9,available
67,10,occupied
67,11,occupied
67,12,occupied
67,13,occupied
67,14,available
67,15,available
67,16,available
67,17,occupied
67,18,available
105,0,available
105,1,available
105,2,available
105,3,available
105,4,available
105,5,available
105,6,occupied
105,7,available
105,8,available
105,9,available
105,10,occupied
105,11,occupied
105,12,occupied
105,13,occupied
105,14,available
105,15,available
105,16,available
105,17,occupied
105,18,available
140,0,available
140,1,available
140,2,available
140,3,available
140,4,available
140,5,available
140,6,occupied
140,7,available
140,8,available
140,9,available
140,10,occupied
140,11,occupied
140,12,occupied
140,13,occupied
140,14,available
140,15,available
140,16,available
140,17,occupied
140,18,available
171,0,available
171,1,available
171,2,available
171,3,available
171,4,available
171,5,available
171,6,occupied
171,7,available
171,8,available
171,9,available
171,10,occupied
171,11,occupied
171,12,occupied
171,13,occupied
171,14,available
171,15,available
171,16,available
171,17,occupied
171,18,available
198,0,available
198,1,available
198,2,available
198,3,available
198,4,available
198,5,available
198,6,occupied
198,7,available
198,8,available
198,9,available
198,10,occupied
198,11,occupied
198,12,occupied
198,13,occupied
198,14,available
198,15,available
198,16,available
198,17,occupied
198,18,available
205,0,available
205,1,available
205,2,available
205,3,available
205,4,available
205,5,available
205,6,occupied
205,7,available
205,8,available
205,9,available
205,10,occupied
205,11,occupied
205,12,occupied
205,13,occupied
205,14,available
205,15,available
205,16,available
205,17,occupied
205,18,available
242,0,available
242,1,available
242,2,available
242,3,available
242,4,available
242,5,available
242,6,occupied
242,7,available
242,8,available
242,9,available
242,10,occupied
242,11,occupied
242,12,occupied
242,13,occupied
242,14,available
242,15,available
242,16,available
242,17,occupied
242,18,available
262,0,available
262,1,available
262,2,available
262,3,available
262,4,available
262,5,available
262,6,occupied
262,7,available
262,8,available
262,9,available
262,10,occupied
262,11,occupied
262,12,occupied
262,13,occupied
262,14,available
262,15,available
262,16,available
262,17,occupied
262,18,available
393,0,available
393,1,available
393,2,available
393,3,available
393,4,available
393,5,available
393,6,occupied
393,7,available
393,8,available
393,9,available
393,10,occupied
393,11,occupied
393,12,occupied
393,13,occupied
393,14,available
393,15,available
393,16,available
393,17,occupied
393,18,available
416,0,available
416,1,available
416,2,available
416,3,available
416,4,available
416,5,available
416,6,occupied
416,7,available
416,8,available
416,9,available
416,10,occupied
416,11,occupied
416,12,occupied
416,13,occupied
416,14,available
416,15,available
416,16,available
416,17,occupied
416,18,available
455,0,available
455,1,available
455,2,available
455,3,available
455,4,available
455,5,available
455,6,occupied
455,7,available
455,8,available
455,9,available
455,10,occupied
455,11,occupied
455,12,occupied
455,13,occupied
455,14,available
455,15,available
455,16,available
